dropout,cov_heads,cov_emb,factor,lr,bs,grad_clip,enc_length,n_params,train_end,val_loss,test_loss,seconds_training,path
0.3,1,8,1,0.001,128,100,84,10384,1368,0.6957154870033264,0.7475563883781433,1734.301149,hp_optim/models/Favorita/HNAM/lightning_logs/version_0/checkpoints/model-07-0.70.ckpt
0.3,1,8,1,0.001,128,100,84,10384,1399,0.7022348642349243,0.8934714198112488,1913.933633,hp_optim/models/Favorita/HNAM/lightning_logs/version_1/checkpoints/model-29-0.70.ckpt
0.5,1,64,1,0.01,256,1,28,234944,1368,0.735520601272583,0.8062563538551331,745.81623,hp_optim/models/Favorita/HNAM/lightning_logs/version_2/checkpoints/model-00-0.74.ckpt
0.5,1,64,1,0.01,256,1,28,234944,1399,0.7544587254524231,0.9488130807876587,810.474059,hp_optim/models/Favorita/HNAM/lightning_logs/version_3/checkpoints/model-01-0.75.ckpt
0.1,1,8,4,0.001,256,0.1,84,12304,1368,0.7133917808532715,0.7691390514373779,1401.740882,hp_optim/models/Favorita/HNAM/lightning_logs/version_4/checkpoints/model-17-0.71.ckpt
0.1,1,8,4,0.001,256,0.1,84,12304,1399,0.7354386448860168,0.9078630208969116,879.972954,hp_optim/models/Favorita/HNAM/lightning_logs/version_5/checkpoints/model-02-0.74.ckpt
0.3,1,64,1,0.01,128,100,28,234944,1368,0.6947226524353027,0.7626177072525024,2603.084781,hp_optim/models/Favorita/HNAM/lightning_logs/version_6/checkpoints/model-19-0.69.ckpt
0.3,1,64,1,0.01,128,100,28,234944,1399,0.7221371531486511,0.9084007740020752,1956.445654,hp_optim/models/Favorita/HNAM/lightning_logs/version_7/checkpoints/model-08-0.72.ckpt
0.1,4,32,2,0.001,256,100,84,83840,1368,0.7349472045898438,0.7977312803268433,4255.372976,hp_optim/models/Favorita/HNAM/lightning_logs/version_8/checkpoints/model-12-0.73.ckpt
0.1,4,32,2,0.001,256,100,84,83840,1399,0.751686155796051,0.9278010725975037,2821.245626,hp_optim/models/Favorita/HNAM/lightning_logs/version_9/checkpoints/model-00-0.75.ckpt
0.5,1,64,1,0.01,128,100,84,234944,1368,0.6915913224220276,0.7823435664176941,2822.242535,hp_optim/models/Favorita/HNAM/lightning_logs/version_10/checkpoints/model-23-0.69.ckpt
0.5,1,64,1,0.01,128,100,84,234944,1399,0.7068172097206116,0.9049309492111206,-1792.681965,hp_optim/models/Favorita/HNAM/lightning_logs/version_11/checkpoints/model-06-0.71.ckpt
0.1,1,64,1,0.001,256,100,28,234944,1368,0.7319234013557434,0.780113935470581,746.527446,hp_optim/models/Favorita/HNAM/lightning_logs/version_12/checkpoints/model-00-0.73.ckpt
0.1,1,64,1,0.001,256,100,28,234944,1399,0.733816921710968,0.942549467086792,809.649721,hp_optim/models/Favorita/HNAM/lightning_logs/version_13/checkpoints/model-01-0.73.ckpt
0.3,4,32,1,0.001,128,100,84,73600,1368,0.6996080279350281,0.7340447306632996,2825.604963,hp_optim/models/Favorita/HNAM/lightning_logs/version_14/checkpoints/model-02-0.70.ckpt
0.3,4,32,1,0.001,128,100,84,73600,1399,0.6934226751327515,0.8789510130882263,2811.52464,hp_optim/models/Favorita/HNAM/lightning_logs/version_15/checkpoints/model-01-0.69.ckpt
0.5,1,64,2,0.001,256,0.1,28,275904,1368,0.7356611490249634,0.7904910445213318,820.305494,hp_optim/models/Favorita/HNAM/lightning_logs/version_16/checkpoints/model-02-0.74.ckpt
0.5,1,64,2,0.001,256,0.1,28,275904,1399,0.7339267134666443,0.9357133507728577,780.744354,hp_optim/models/Favorita/HNAM/lightning_logs/version_17/checkpoints/model-00-0.73.ckpt
0.5,4,32,2,0.01,128,1,84,83840,1368,0.6937456130981445,0.7550845742225647,5063.095245,hp_optim/models/Favorita/HNAM/lightning_logs/version_18/checkpoints/model-20-0.69.ckpt
0.5,4,32,2,0.01,128,1,84,83840,1399,0.7064459323883057,0.9105115532875061,3852.068582,hp_optim/models/Favorita/HNAM/lightning_logs/version_19/checkpoints/model-18-0.71.ckpt
0.3,1,64,1,0.001,256,1,84,234944,1368,0.7319074273109436,0.79240483045578,1217.715431,hp_optim/models/Favorita/HNAM/lightning_logs/version_20/checkpoints/model-06-0.73.ckpt
0.3,1,64,1,0.001,256,1,84,234944,1399,0.7347337603569031,0.9352225661277771,1028.144097,hp_optim/models/Favorita/HNAM/lightning_logs/version_21/checkpoints/model-01-0.73.ckpt
0.1,1,32,4,0.001,256,0.1,28,104320,1368,0.7239630222320557,0.7642692923545837,925.730716,hp_optim/models/Favorita/HNAM/lightning_logs/version_22/checkpoints/model-00-0.72.ckpt
0.1,1,32,4,0.001,256,0.1,28,104320,1399,0.7269096374511719,0.9154082536697388,1000.606653,hp_optim/models/Favorita/HNAM/lightning_logs/version_23/checkpoints/model-01-0.73.ckpt
0.1,1,8,4,0.001,256,1,84,12304,1368,0.7150521278381348,0.7757672071456909,2045.979729,hp_optim/models/Favorita/HNAM/lightning_logs/version_24/checkpoints/model-34-0.72.ckpt
0.1,1,8,4,0.001,256,1,84,12304,1399,0.7353231310844421,0.9098676443099976,1162.849564,hp_optim/models/Favorita/HNAM/lightning_logs/version_25/checkpoints/model-14-0.74.ckpt
0.5,4,32,1,0.001,256,100,84,73600,1368,0.7233140468597412,0.7754116654396057,3108.496153,hp_optim/models/Favorita/HNAM/lightning_logs/version_26/checkpoints/model-03-0.72.ckpt
0.5,4,32,1,0.001,256,100,84,73600,1399,0.7338455319404602,0.9166864156723022,2970.384391,hp_optim/models/Favorita/HNAM/lightning_logs/version_27/checkpoints/model-01-0.73.ckpt
0.1,4,32,2,0.01,256,1,28,83840,1368,0.7195082902908325,0.8077893853187561,1113.533984,hp_optim/models/Favorita/HNAM/lightning_logs/version_28/checkpoints/model-04-0.72.ckpt
0.1,4,32,2,0.01,256,1,28,83840,1399,0.7427855730056763,0.952558696269989,1382.358411,hp_optim/models/Favorita/HNAM/lightning_logs/version_29/checkpoints/model-14-0.74.ckpt
0.1,1,8,4,0.001,256,100,84,12304,1368,0.715319037437439,0.7828263640403748,2055.942316,hp_optim/models/Favorita/HNAM/lightning_logs/version_30/checkpoints/model-34-0.72.ckpt
0.1,1,8,4,0.001,256,100,84,12304,1399,0.7374934554100037,0.9071337580680847,1006.519789,hp_optim/models/Favorita/HNAM/lightning_logs/version_31/checkpoints/model-05-0.74.ckpt
0.3,1,64,1,0.001,128,1,84,234944,1368,0.7065679430961609,0.7607688903808594,1433.941765,hp_optim/models/Favorita/HNAM/lightning_logs/version_32/checkpoints/model-01-0.71.ckpt
0.3,1,64,1,0.001,128,1,84,234944,1399,0.6987311244010925,0.9112865924835205,1495.886623,hp_optim/models/Favorita/HNAM/lightning_logs/version_33/checkpoints/model-01-0.70.ckpt
0.5,1,32,2,0.001,128,100,84,83840,1368,0.6936063766479492,0.7668190598487854,5108.889471,hp_optim/models/Favorita/HNAM/lightning_logs/version_34/checkpoints/model-21-0.69.ckpt
0.5,1,32,2,0.001,128,100,84,83840,1399,0.7131268382072449,0.9158214330673218,3803.713993,hp_optim/models/Favorita/HNAM/lightning_logs/version_35/checkpoints/model-13-0.71.ckpt
0.5,4,8,2,0.001,128,0.1,84,11024,1368,0.6868225932121277,0.7330393195152283,2041.42008,hp_optim/models/Favorita/HNAM/lightning_logs/version_36/checkpoints/model-10-0.69.ckpt
0.5,4,8,2,0.001,128,0.1,84,11024,1399,0.7038605809211731,0.881742537021637,1693.205396,hp_optim/models/Favorita/HNAM/lightning_logs/version_37/checkpoints/model-04-0.70.ckpt
0.1,1,8,1,0.01,256,1,84,10384,1368,0.7097941040992737,0.7627200484275818,2274.956155,hp_optim/models/Favorita/HNAM/lightning_logs/version_38/checkpoints/model-39-0.71.ckpt
0.1,1,8,1,0.01,256,1,84,10384,1399,0.7350853681564331,0.9132815003395081,1180.618403,hp_optim/models/Favorita/HNAM/lightning_logs/version_39/checkpoints/model-22-0.74.ckpt
0.5,1,64,1,0.001,128,1,84,234944,1368,0.7170050144195557,0.7694652676582336,1452.685611,hp_optim/models/Favorita/HNAM/lightning_logs/version_40/checkpoints/model-01-0.72.ckpt
0.5,1,64,1,0.001,128,1,84,234944,1399,0.7058811187744141,0.9043722152709961,1422.170663,hp_optim/models/Favorita/HNAM/lightning_logs/version_41/checkpoints/model-00-0.71.ckpt
0.1,1,8,2,0.01,128,0.1,84,11024,1368,0.6925888061523438,0.7635849118232727,2239.167893,hp_optim/models/Favorita/HNAM/lightning_logs/version_42/checkpoints/model-14-0.69.ckpt
