dropout,cov_heads,cov_emb,factor,lr,bs,grad_clip,enc_length,n_params,train_end,val_loss,test_loss,seconds_training,path
0.3,1,8,1,0.001,128,100,84,6620,1706,0.8483705520629883,0.8610164523124695,1437.973421,hp_optim/models/Walmart/HNAM/lightning_logs/version_0/checkpoints/model-08-0.85.ckpt
0.3,1,8,1,0.001,128,100,84,6620,1737,0.8568339347839355,0.8319729566574097,1518.23595,hp_optim/models/Walmart/HNAM/lightning_logs/version_1/checkpoints/model-09-0.86.ckpt
0.5,1,64,1,0.01,256,1,28,213316,1706,0.8618408441543579,0.8590746521949768,730.585601,hp_optim/models/Walmart/HNAM/lightning_logs/version_2/checkpoints/model-03-0.86.ckpt
0.5,1,64,1,0.01,256,1,28,213316,1737,0.8523678183555603,0.8479695916175842,689.574036,hp_optim/models/Walmart/HNAM/lightning_logs/version_3/checkpoints/model-01-0.85.ckpt
0.1,1,8,4,0.001,256,0.1,84,8924,1706,0.8507235646247864,0.8649964332580566,906.627836,hp_optim/models/Walmart/HNAM/lightning_logs/version_4/checkpoints/model-08-0.85.ckpt
0.1,1,8,4,0.001,256,0.1,84,8924,1737,0.8566514849662781,0.8408389687538147,832.337058,hp_optim/models/Walmart/HNAM/lightning_logs/version_5/checkpoints/model-05-0.86.ckpt
0.3,1,64,1,0.01,128,100,28,213316,1706,0.8549045920372009,0.8504168391227722,2670.731219,hp_optim/models/Walmart/HNAM/lightning_logs/version_6/checkpoints/model-32-0.85.ckpt
0.3,1,64,1,0.01,128,100,28,213316,1737,0.8478667736053467,0.8402579426765442,1577.537961,hp_optim/models/Walmart/HNAM/lightning_logs/version_7/checkpoints/model-16-0.85.ckpt
0.1,4,32,2,0.001,256,100,84,72932,1706,0.8569741249084473,0.8872561454772949,2614.037046,hp_optim/models/Walmart/HNAM/lightning_logs/version_8/checkpoints/model-02-0.86.ckpt
0.1,4,32,2,0.001,256,100,84,72932,1737,0.8867189288139343,0.852770209312439,2582.968695,hp_optim/models/Walmart/HNAM/lightning_logs/version_9/checkpoints/model-01-0.89.ckpt
0.5,1,64,1,0.01,128,100,84,213316,1706,0.8555516004562378,0.8560894131660461,2185.801562,hp_optim/models/Walmart/HNAM/lightning_logs/version_10/checkpoints/model-21-0.86.ckpt
0.5,1,64,1,0.01,128,100,84,213316,1737,0.8535808324813843,0.8506894111633301,1611.291688,hp_optim/models/Walmart/HNAM/lightning_logs/version_11/checkpoints/model-24-0.85.ckpt
0.1,1,64,1,0.001,256,100,28,213316,1706,0.867138683795929,0.8648996949195862,646.44417,hp_optim/models/Walmart/HNAM/lightning_logs/version_12/checkpoints/model-00-0.87.ckpt
0.1,1,64,1,0.001,256,100,28,213316,1737,0.8609112501144409,0.8476704359054565,665.302676,hp_optim/models/Walmart/HNAM/lightning_logs/version_13/checkpoints/model-00-0.86.ckpt
0.3,4,32,1,0.001,128,100,84,60644,1706,0.8501895070075989,0.8578577637672424,2385.753194,hp_optim/models/Walmart/HNAM/lightning_logs/version_14/checkpoints/model-01-0.85.ckpt
0.3,4,32,1,0.001,128,100,84,60644,1737,0.8616423010826111,0.8386959433555603,2575.93964,hp_optim/models/Walmart/HNAM/lightning_logs/version_15/checkpoints/model-02-0.86.ckpt
0.5,1,64,2,0.001,256,0.1,28,262468,1706,0.8586872816085815,0.8591154217720032,647.990658,hp_optim/models/Walmart/HNAM/lightning_logs/version_16/checkpoints/model-00-0.86.ckpt
0.5,1,64,2,0.001,256,0.1,28,262468,1737,0.8550472259521484,0.8506549596786499,704.941057,hp_optim/models/Walmart/HNAM/lightning_logs/version_17/checkpoints/model-01-0.86.ckpt
0.5,4,32,2,0.01,128,1,84,72932,1706,0.854634702205658,0.8590506315231323,2272.128652,hp_optim/models/Walmart/HNAM/lightning_logs/version_18/checkpoints/model-00-0.85.ckpt
0.5,4,32,2,0.01,128,1,84,72932,1737,0.8598670363426208,0.8419327139854431,2685.567769,hp_optim/models/Walmart/HNAM/lightning_logs/version_19/checkpoints/model-03-0.86.ckpt
0.3,1,64,1,0.001,256,1,84,213316,1706,0.8544337749481201,0.8923397064208984,805.19215,hp_optim/models/Walmart/HNAM/lightning_logs/version_20/checkpoints/model-01-0.85.ckpt
0.3,1,64,1,0.001,256,1,84,213316,1737,0.8838594555854797,0.8526409268379211,824.526827,hp_optim/models/Walmart/HNAM/lightning_logs/version_21/checkpoints/model-00-0.88.ckpt
0.1,1,32,4,0.001,256,0.1,28,97508,1706,0.8594188094139099,0.8615649938583374,775.901423,hp_optim/models/Walmart/HNAM/lightning_logs/version_22/checkpoints/model-00-0.86.ckpt
0.1,1,32,4,0.001,256,0.1,28,97508,1737,0.8603647351264954,0.8501107692718506,800.47634,hp_optim/models/Walmart/HNAM/lightning_logs/version_23/checkpoints/model-00-0.86.ckpt
0.1,1,8,4,0.001,256,1,84,8924,1706,0.8492395877838135,0.8635374307632446,914.508419,hp_optim/models/Walmart/HNAM/lightning_logs/version_24/checkpoints/model-08-0.85.ckpt
0.1,1,8,4,0.001,256,1,84,8924,1737,0.8570266962051392,0.8377319574356079,748.49371,hp_optim/models/Walmart/HNAM/lightning_logs/version_25/checkpoints/model-02-0.86.ckpt
0.5,4,32,1,0.001,256,100,84,60644,1706,0.8557819128036499,0.8617780804634094,2547.847545,hp_optim/models/Walmart/HNAM/lightning_logs/version_26/checkpoints/model-01-0.86.ckpt
0.5,4,32,1,0.001,256,100,84,60644,1737,0.8589287996292114,0.8384969830513,2475.475856,hp_optim/models/Walmart/HNAM/lightning_logs/version_27/checkpoints/model-00-0.86.ckpt
0.1,4,32,2,0.01,256,1,28,72932,1706,0.864047646522522,0.8687678575515747,796.016224,hp_optim/models/Walmart/HNAM/lightning_logs/version_28/checkpoints/model-00-0.86.ckpt
0.1,4,32,2,0.01,256,1,28,72932,1737,0.8585163354873657,0.8482601642608643,1002.303074,hp_optim/models/Walmart/HNAM/lightning_logs/version_29/checkpoints/model-05-0.86.ckpt
0.1,1,8,4,0.001,256,100,84,8924,1706,0.8492416739463806,0.8635389804840088,919.74151,hp_optim/models/Walmart/HNAM/lightning_logs/version_30/checkpoints/model-08-0.85.ckpt
